# Rime user dictionary
#@/db_name	custom.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	532
#@/user_id	.backup
a 	啊	c=2 d=0.293948 t=530
hun shu 	混输	c=3 d=2.71914 t=530
huo 	或	c=2 d=0.479817 t=530
huo zhe shi 	或者是	c=1 d=0.88692 t=530
ji chu 	基础	c=2 d=1.98506 t=530
ji guang 	极光	c=1 d=1.08313 t=530
ji guang pin yin 	极光拼音	c=5 d=1.04664 t=530
ji ke 	即可	c=2 d=0.992505 t=530
ji ke cha kan 	即可查看	c=1 d=0.271173 t=530
jia 	加	c=2 d=0.985112 t=530
jian 	键	c=2 d=0.504418 t=530
jian cha 	检查	c=1 d=0.806541 t=530
jian li 	建立	c=0 d=0.0946485 t=530
jian li zhui zong guan xi 	建立追踪关系	c=1 d=0.951229 t=530
jian ti 	简体	c=3 d=2.22592 t=530
jiang 	将	c=2 d=0.937676 t=530
jin qu 	进去	c=0 d=0.099005 t=530
jin ru 	进入	c=2 d=0.538294 t=530
jin xing 	进行	c=2 d=0.402786 t=530
jiu shi 	就是	c=1 d=0.287899 t=530
jiu shi zhe ge 	就是这个	c=1 d=0.261846 t=530
jiu you le 	就有了	c=1 d=0.45834 t=530
jiu you le yi xie wen ti 	就有了一些问题	c=1 d=0.416862 t=530
ju ti 	具体	c=2 d=0.307478 t=530
jue de 	觉得	c=0 d=0.0995012 t=530
kai qi 	开启	c=1 d=0.565187 t=530
kan 	看	c=0 d=0.0918512 t=530
kan bu chu 	看不出	c=0 d=0.0774916 t=530
kan bu chu wen ti 	看不出问题	c=1 d=0.778801 t=530
kan zhe li 	看这里	c=1 d=0.923116 t=530
ke bian cheng 	可编程	c=0 d=0.0114178 t=530
ke yi 	可以	c=5 d=2.29489 t=530
ke yi tong guo 	可以通过	c=1 d=0.873716 t=530
ke yi you 	可以有	c=1 d=0.951229 t=530
ke yi zai 	可以在	c=2 d=1.19695 t=530
kong bai 	空白	c=2 d=1.07858 t=530
kong ge 	空格	c=4 d=1.28288 t=530
kong hang 	空行	c=1 d=0.110803 t=530
ku 	哭	c=1 d=0.900325 t=530
kuai jie fang shi 	快捷方式	c=1 d=0.852144 t=530
kuai jie jian 	快捷键	c=1 d=0.733447 t=530
kuan 	宽	c=1 d=0.332871 t=530
le 	了	c=3 d=0.776245 t=530
li mian 	里面	c=1 d=0.985112 t=530
li zi 	例子	c=2 d=1.94575 t=530
liang tao 	两套	c=1 d=0.941765 t=530
